,Name,Category,Biz City,Biz Zip,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID,County
169,OTORO,"['Sushi Bars', 'Japanese']",Healdsburg,95448.0,38.6260632238124,-122.872408032417,4.5,54,$$,PFWFUm6yiMZmwwTtP1Vv9A,Sonoma
172,Costeaux French Bakery & Cafe,"['Bakeries', 'French', 'Coffee & Tea']",Healdsburg,95448.0,38.61254,-122.87156,4.0,636,$$,2Dl2PEW-0gLIpP0dm83IiA,Sonoma
174,The Wurst Restaurant,"['American (New)', 'Ice Cream & Frozen Yogurt', 'Beer Gardens']",Healdsburg,95448.0,38.6100309,-122.8714253,4.0,495,$$,i7CmLtEWrbQRTmfM7_eUUw,Sonoma
176,Spoonbar,"['Seafood', 'Cocktail Bars', 'American (New)']",Healdsburg,95448.0,38.60906,-122.87058,3.5,496,$$$,AHWNvNzGJG6Ty9GpWjhMbQ,Sonoma
177,Dry Creek Kitchen,['American (New)'],Healdsburg,95448.0,38.6107621,-122.87084140000002,3.5,593,$$$$,jDsT7OxH08Ly6SPDzPykbw,Sonoma
178,The Taste of Tea,"['Ramen', 'Izakaya']",Healdsburg,95448.0,38.6121049,-122.87073070000001,4.5,118,$$,JTMIkRaWcbxbwWcngv9ajA,Sonoma
179,Taqueria Guadalajara,['Mexican'],Healdsburg,95448.0,38.605617523193395,-122.86940765380899,4.0,114,$,8HyQjbPVr8c-44rSmOvzvA,Sonoma
180,Thai Orchid Cuisine,['Thai'],Healdsburg,95448.0,38.60895223248379,-122.872169624537,4.0,112,$$,XIr74FwAMI97guJobZvhBw,Sonoma
182,The Gallery  Bar & Bistro at Studio Barndiva,"['Bars', 'Mediterranean', 'American (New)']",Healdsburg,95448.0,38.60978,-122.86956,4.5,13,$$$,8EKfY_O9dfAIIGz8vP72GQ,Sonoma
183,Pizzando,['Pizza'],Healdsburg,95448.0,38.6111259,-122.8709412,3.5,230,$$,qGrfBev4crtPOIGlGfOivw,Sonoma
